movie,opening_date,publication_date,url,mpaa_rating,critics_pick
A Beautiful Planet,4/29/2016,4/28/2016,http://www.nytimes.com/2016/04/29/movies/a-beautiful-planet-review.html,G,0
A Bigger Splash,5/4/2016,5/3/2016,http://www.nytimes.com/2016/05/04/movies/a-bigger-splash-review-tilda-swinton.html,R,1
A Hologram for the King,4/22/2016,4/21/2016,http://www.nytimes.com/2016/04/22/movies/review-a-hologram-for-the-king-is-elevated-by-tom-hankss-portrayal-of-an-american-everyman.html,R,1
Baaghi,4/29/2016,5/1/2016,http://www.nytimes.com/2016/05/02/movies/baaghi-review.html,,0
Beautiful Something,5/6/2016,5/5/2016,http://www.nytimes.com/2016/05/06/movies/beautiful-something-review.html,Not Rated,0
Being Charlie,5/6/2016,5/5/2016,http://www.nytimes.com/2016/05/06/movies/being-charlie-review-rob-reiner.html,,0
Bourek,4/29/2016,4/28/2016,http://www.nytimes.com/2016/04/29/movies/bourek-review.html,,0
Captain America: Civil War,5/6/2016,5/5/2016,http://www.nytimes.com/2016/05/06/movies/captain-america-civil-war-review-chris-evans.html,PG-13,0
Compadres,4/22/2016,4/21/2016,http://www.nytimes.com/2016/04/22/movies/compadres-review.html,,0
Dark Horse,5/6/2016,5/5/2016,http://www.nytimes.com/2016/05/06/movies/dark-horse-review.html,PG,1
Dough,4/29/2016,4/28/2016,http://www.nytimes.com/2016/04/29/movies/dough-review.html,,0
Elstree 1976,5/6/2016,5/5/2016,http://www.nytimes.com/2016/05/06/movies/elsetree-1976-review-star-wars-documentary.html,,1
Elvis & Nixon,4/22/2016,4/21/2016,http://www.nytimes.com/2016/04/22/movies/elvis-and-nixon-review.html,R,0
Eva Hesse,4/27/2016,4/26/2016,http://www.nytimes.com/2016/04/27/movies/review-eva-hesse-documentary.html,,1
Fassbinder: To Love Without Demands,4/29/2016,4/28/2016,http://www.nytimes.com/2016/04/29/movies/fassbinder-to-love-without-demands-review.html,,0
Green Room,4/29/2016,4/14/2016,http://www.nytimes.com/2016/04/15/movies/green-room-review.html,R,0
Hockney,4/22/2016,4/21/2016,http://www.nytimes.com/2016/04/22/movies/hockney-review.html,,0
Keanu,4/29/2016,4/28/2016,http://www.nytimes.com/2016/04/29/movies/keanu-review-key-and-peele.html,R,0
L’Attesa (The Wait), NA ,4/28/2016,http://www.nytimes.com/2016/04/29/movies/lattesa-the-wait-review.html,,0
Love Thy Nature,4/22/2016,4/21/2016,http://www.nytimes.com/2016/04/22/movies/review-in-love-thy-nature-it-takes-a-planet.html,,0
Mad Tiger,5/6/2016,5/5/2016,http://www.nytimes.com/2016/05/06/movies/review-mad-tiger.html,,0
Men & Chicken,4/22/2016,4/21/2016,http://www.nytimes.com/2016/04/22/movies/men-and-chicken-review.html,,0
Mother’s Day,4/29/2016,4/28/2016,http://www.nytimes.com/2016/04/29/movies/mothers-day-review.html,PG-13,0
Mothers and Daughters,5/6/2016,5/5/2016,http://www.nytimes.com/2016/05/06/movies/mothers-and-daughters-review.html,PG-13,0
Nina,4/22/2016,4/21/2016,http://www.nytimes.com/2016/04/22/movies/nina-review-zoe-saldana-nina-simone.html,,0
Older Than Ireland,4/29/2016,4/28/2016,http://www.nytimes.com/2016/04/29/movies/older-than-ireland-review.html,,1
Pali Road,4/29/2016,4/28/2016,http://www.nytimes.com/2016/04/29/movies/pali-road-review.html,,0
Papa: Hemingway in Cuba,4/29/2016,4/28/2016,http://www.nytimes.com/2016/04/29/movies/papa-hemingway-in-cuba-review.html,R,0
Ratchet & Clank,4/29/2016,4/28/2016,http://www.nytimes.com/2016/04/29/movies/ratchet-clank-review.html,PG,0
Sin Alas, NA ,5/3/2016,http://www.nytimes.com/2016/05/04/movies/sin-alas-review.html,,0
The American Side, NA ,4/28/2016,http://www.nytimes.com/2016/04/29/movies/the-american-side-review.html,,0
The Family Fang,5/6/2016,4/28/2016,http://www.nytimes.com/2016/04/29/movies/the-family-fang-review-jason-bateman-nicole-kidman.html,R,0
The Huntsman: Winter?s War,4/22/2016,4/21/2016,http://www.nytimes.com/2016/04/22/movies/review-the-huntsman-a-study-in-hollywoods-overstuffed-playbook.html,PG-13,0
The Man Who Knew Infinity,4/29/2016,4/28/2016,http://www.nytimes.com/2016/04/29/movies/the-man-who-knew-infinity-review.html,PG-13,0
The Meddler,4/22/2016,4/21/2016,http://www.nytimes.com/2016/04/22/movies/the-meddler-review-susan-sarandon-rose-byrne.html,PG-13,1
The Offering,5/6/2016,5/5/2016,http://www.nytimes.com/2016/05/06/movies/the-offering-review.html,,0
Those People,5/6/2016,5/5/2016,http://www.nytimes.com/2016/05/06/movies/those-people-review.html,,0
Transfixed, NA ,4/28/2016,http://www.nytimes.com/2016/04/29/movies/transfixed-review.html,,0
Viktoria, NA ,4/28/2016,http://www.nytimes.com/2016/04/29/movies/viktoria-review.html,,0
Viva,4/29/2016,4/28/2016,http://www.nytimes.com/2016/04/29/movies/viva-review.html,R,1
