"","X","movie","opening_date","publication_date","mpaa_rating","critics_pick","Sentiment_Score_nyt","genre"
"1",1,"A Beautiful Planet","4/29/2016","4/28/2016","G",0,0.999975427519124,"Documentary"
"2",2,"A Bigger Splash","5/4/2016","5/3/2016","R",1,0.9937998330281,"Crime"
"3",3,"A Hologram for the King","4/22/2016","4/21/2016","R",1,0.398321312181431,"Drama"
"4",4,"Baaghi","4/29/2016","5/1/2016","",0,0.0687760258089988,"Action"
"5",5,"Beautiful Something","5/6/2016","5/5/2016","Not Rated",0,0.982997357456554,"Drama"
"6",6,"Being Charlie","5/6/2016","5/5/2016","",0,0.0408532381429569,"Drama"
"7",7,"Bourek","4/29/2016","4/28/2016","",0,0.351757487760196,"Comedy"
"8",8,"Captain America: Civil War","5/6/2016","5/5/2016","PG-13",0,0.974440075375635,"Action"
"9",9,"Compadres","4/22/2016","4/21/2016","",0,0.157729069764117,"Action"
"10",10,"Dark Horse","5/6/2016","5/5/2016","PG",1,0.847036257868955,"Documentary"
"11",11,"Dough","4/29/2016","4/28/2016","",0,0.893521538193326,"Comedy"
"12",12,"Elstree 1976","5/6/2016","5/5/2016","",1,0.987233787997614,"Documentary"
"13",13,"Elvis & Nixon","4/22/2016","4/21/2016","R",0,0.111959389023917,"Comedy"
"14",14,"Eva Hesse","4/27/2016","4/26/2016","",1,0.999869033360251,"Documentary"
"15",15,"Fassbinder: To Love Without Demands","4/29/2016","4/28/2016","",0,0.485597971067117,"Documentary"
"16",16,"Green Room","4/29/2016","4/14/2016","R",0,0.913622029877306,"Crime"
"17",17,"Hockney","4/22/2016","4/21/2016","",0,0.976502333288967,"Documentary"
"18",18,"Keanu","4/29/2016","4/28/2016","R",0,0.906763526300553,"Comedy"
"19",19,"L'Attesa (The Wait)"," NA ","4/28/2016","",0,0.96651927162331,"Drama"
"20",20,"Love Thy Nature","4/22/2016","4/21/2016","",0,0.790983437030792,"Documentary"
"21",21,"Mad Tiger","5/6/2016","5/5/2016","",0,0.106597478376256,"Documentary"
"22",22,"Men & Chicken","4/22/2016","4/21/2016","",0,0.180902953234821,"Comedy"
"23",23,"Mother's Day","4/29/2016","4/28/2016","PG-13",0,0.123870192214987,"Comedy"
"24",24,"Mothers and Daughters","5/6/2016","5/5/2016","PG-13",0,0.359423234860697,"Drama"
"25",25,"Nina","4/22/2016","4/21/2016","",0,0.750230959418433,"Biography"
"26",26,"Older Than Ireland","4/29/2016","4/28/2016","",1,0.9901403361256,"Documentary"
"27",27,"Pali Road","4/29/2016","4/28/2016","",0,0.638419296817552,"Drama"
"28",28,"Papa: Hemingway in Cuba","4/29/2016","4/28/2016","R",0,0.0671247367497509,"Biography"
"29",29,"Ratchet & Clank","4/29/2016","4/28/2016","PG",0,0.262797214806542,"Animation"
"30",30,"Sin Alas"," NA ","5/3/2016","",0,0.748057882556019,"Drama"
"31",31,"The American Side"," NA ","4/28/2016","",0,0.946433187640855,"Drama"
"32",32,"The Family Fang","5/6/2016","4/28/2016","R",0,0.205179716267168,"Drama"
"33",33,"The Huntsman: Winter's War","4/22/2016","4/21/2016","PG-13",0,0.0042894606203065,"Action"
"34",34,"The Man Who Knew Infinity","4/29/2016","4/28/2016","PG-13",0,0.950477539804685,"Biography"
"35",35,"The Meddler","4/22/2016","4/21/2016","PG-13",1,0.982608080989819,"Comedy"
"36",36,"The Offering","5/6/2016","5/5/2016","",0,0.00960720177182676,"Drama"
"37",37,"Those People","5/6/2016","5/5/2016","",0,0.781084472526823,"Drama"
"38",38,"Transfixed"," NA ","4/28/2016","",0,0.987026010760906,"Documentary"
"39",39,"Viktoria"," NA ","4/28/2016","",0,0.370194766339114,"Drama"
"40",40,"Viva","4/29/2016","4/28/2016","R",1,0.687891949857548,"Drama"
