"","movie","Sentiment_Score","Count_of_Tweets","num"
"1","A Beautiful Planet",0.715424395623595,93,1
"2","A Bigger Splash",0.532199327081643,51,2
"3","A Hologram for the King",0.779463801017488,4,3
"4","Baaghi",0.594285603955382,31,4
"5","Being Charlie",0.633684604192379,17,5
"6","Captain America: Civil War",0.784003137034156,1508,6
"7","Dark Horse",0.66076739063917,31,7
"8","Dough",0.565780360361315,31,8
"9","Elstree 1976",0.756549066594134,14,9
"10","Elvis & Nixon",0.606640093389848,3,10
"11","Eva Hesse",0.825722412261936,4,11
"12","Green Room",0.669832174098474,245,12
"13","Hockney",0.528449062806668,3,13
"14","Keanu",0.675888670038169,1373,14
"15","L'Attesa (The Wait)",0.760730994600774,3,15
"16","Men & Chicken",0.699992634241935,12,16
"17","Mother's Day",0.727872304351487,1040,17
"18","Mothers and Daughters",0.690782602784487,54,18
"19","Nina",0.656375435918737,14,19
"20","Older Than Ireland",0.369945746522683,5,20
"21","Pali Road",0.49499669523817,2,21
"22","Papa: Hemingway in Cuba",0.558468235219355,40,22
"23","Ratchet & Clank",0.623348950735267,577,23
"24","Sacrifice",0.70884856169106,25,24
"25","Sin Alas",0.275017796851979,2,25
"26","The American Side",0.763301462314194,2,26
"27","The Family Fang",0.727884456738526,52,27
"28","The Man Who Knew Infinity",0.859255818054024,41,28
"29","The Meddler",0.635093505007279,89,29
"30","The Offering",0.406167298604389,7,30
"31","Those People",0.449870556090432,8,31
"32","Transfixed",0.872324428755348,1,32
"33","Viktoria",0.493580140046513,5,33
"34","Viva",0.66241087208494,58,34
